index,A,B,C,beta,omega,phi,tc_delta,mse_resid,oscillations,damping_factor,min_rel_err,max_rel_err
0,6.760758308627864,-0.9740357314904848,-0.002526530100620178,0.1,6.0,2.2,4.0,0.00022186838978954275,2.585997453878508,6.425385098000561,-0.036833237411037056,0.025728395344011796
0,6.596075622617532,-0.781247412944678,0.00352339645781255,0.1,6.0,2.3000000000000003,1.0,0.00024476854483063745,3.8608295666989387,3.6955223096944376,-0.03719157632170106,0.03533655954095036
0,6.661992787902223,-0.8595434727261453,0.0010667248662489803,0.1,6.0,2.3000000000000003,2.0,0.00022985186904983702,3.2155306571704427,13.429634012199019,-0.03667866912178191,0.03067038744419572
0,6.714195289367524,-0.9203785241938149,-0.0015664774861467584,0.1,6.0,2.3000000000000003,3.0,0.00022417353869968987,2.8446639813411436,9.792443367717699,-0.037225870275351805,0.026836097567698336
0,6.759292692772051,-0.9721416605835254,-0.0031850966931371294,0.1,6.0,2.3000000000000003,4.0,0.00022058630376640083,2.585997453878508,5.0869290859007075,-0.037247426017366074,0.02526088221239949
0,6.596822957899285,-0.7822602174829725,0.002524809311993781,0.1,6.0,2.4000000000000004,1.0,0.00024659153119090376,3.8608295666989387,5.16382375074787,-0.03774303619821195,0.0345282128194034
0,6.661701795809611,-0.8591860200232793,5.9971619802229315e-05,0.1,6.0,2.4000000000000004,2.0,0.0002302110434122188,3.2155306571704427,238.7757250447933,-0.037412499027561705,0.029864627739051002
0,6.71308319143742,-0.9189305749214123,-0.002388352712586181,0.1,6.0,2.4000000000000004,3.0,0.0002230831812272252,2.8446639813411436,6.412582823849095,-0.037816045068848135,0.026228987571336827
0,6.757612935659409,-0.9699568160352392,-0.003807096807426205,0.1,6.0,2.4000000000000004,4.0,0.00021908840887907474,2.585997453878508,4.246266315683649,-0.03757162244448474,0.024873190843048027
0,6.597205228707512,-0.782773155192491,0.0015388404611968165,0.1,6.0,2.5,1.0,0.0002478350984959076,3.8608295666989387,8.477954396300204,-0.038352079190415875,0.033708073878732925
0,6.661063133402723,-0.8583518808121076,-0.0009170305358451314,0.1,6.0,2.5,2.0,0.00022993765763121057,3.2155306571704427,15.600205359593147,-0.03813038011627383,0.029097937905242618
0,6.711618837848297,-0.91701301767604,-0.0031782417511703326,0.1,6.0,2.5,3.0,0.00022159324993096486,2.8446639813411436,4.808806721191918,-0.03833788551482757,0.02569830890699802
0,6.755775339765075,-0.9675547750359605,-0.0043943219603962,0.1,6.0,2.5,4.0,0.00021742561243593474,2.585997453878508,3.669715842990273,-0.03779875117685288,0.02457458331175477
0,6.5972269500238205,-0.7827927685206566,0.0005709481761437263,0.1,6.0,2.6,1.0,0.0002484845383900405,3.8608295666989387,22.850666114969254,-0.03899490019535288,0.03290490879385499
0,6.660112491094206,-0.8570886069418684,-0.0018617973171353441,0.1,6.0,2.6,2.0,0.00022906705431451521,3.2155306571704427,7.672591417027682,-0.03880910365669559,0.028394144001910468
0,6.709853635469575,-0.9146933696347634,-0.003937823408601271,0.1,6.0,2.6,3.0,0.0002197570394702353,2.8446639813411436,3.8713999872654945,-0.038777846536602996,0.025257664092189085
0,6.75383648054427,-0.9650096889601292,-0.0049484415984712565,0.1,6.0,2.6,4.0,0.00021564950999783278,2.585997453878508,3.2502141322574967,-0.03792400926952665,0.024372087116563596
0,6.596902665028145,-0.7823392870509625,-0.0003758711794410591,0.1,6.0,2.7,1.0,0.00024854373270137917,3.8608295666989387,34.6900449694114,-0.03964897039908206,0.032144244412727556
0,6.658891067631785,-0.8554514495627834,-0.0027735183491211235,0.1,6.0,2.7,2.0,0.00022764774159938765,3.2155306571704427,5.140591250783565,-0.03942840168401197,0.027773450327812522
0,6.7078424661444895,-0.9120438418927819,-0.00466874352543252,0.1,6.0,2.7,3.0,0.00021763208897835294,2.8446639813411436,3.2558504478578767,-0.03912448083545111,0.024918406863291803
0,6.751853177951357,-0.9623962203288468,-0.005470595110328172,0.1,6.0,2.7,4.0,0.00021381230721456896,2.585997453878508,2.9320278108680156,-0.037944585858341956,0.024270771981961908
0,6.596254616672438,-0.7814434403174317,-0.0013004540414400523,0.1,6.0,2.8000000000000003,1.0,0.0002480313954947773,3.8608295666989387,10.015007776977438,-0.04029334174085274,0.0314483898614846
